THÁNG 6/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngày,Temp_t (°C),Rain_t (mm),Ripe_t (%),Order_t (Tấn),PeakDay_t (0/1),Sản lượng thu hoạch (Tấn),Sản lượng đi xe lạnh (Tấn),Nhiệt độ yêu cầu (°C),Số xe yêu cầu (4.8T),Dự báo T+7 (Tấn),Dự báo T+3 (Tấn),Dự báo T+1 (Tấn),Nhu cầu xe FrostLink (4.8T),Lớp 1 - Cam kết cứng (70%),Lớp 2 - Quyền chọn linh hoạt (20%),Trạng thái Lớp 2 (Hủy khi Mưa > 20mm),Lớp 2 - Thực chạy,Chi phí phạt cọc Lớp 2 (VNĐ),Lớp 3 - Giao ngay (Bù thực tế),Tổng số xe FrostLink thực chạy,Số xe sẵn có,Nhiệt độ xe sẵn có (°C),Thời gian tìm xe (Giờ),Giá chốt xe (VNĐ),Tỷ lệ hư hỏng (%),Baseline (Dự báo thủ công),Baseline - Sai số xe,Kiểm định nhiệt độ,Baseline - C_over (VNĐ),Baseline - C_under (VNĐ),Baseline - Tổng chi phí rủi ro (VNĐ),FrostLink - Sai số xe,FrostLink - C_over (VNĐ),FrostLink - C_under (VNĐ),FrostLink - Tổng chi phí rủi ro (VNĐ)
Ngày 01,32,0,25%,18,0,20,"16,0",2-4,4,20,20,20,4,3,1,Kích hoạt,1,0,0,4,15,2-4,2,3.000.000 đ,2%,,,Hợp lệ,0 đ,0 đ,0 đ,0,0,0,0
Ngày 02,33,0,30%,22,0,25,"20,0",2-4,5,24,24,24,4,3,1,Kích hoạt,1,0,1,5,14,2-4,2,3.000.000 đ,2%,,,Hợp lệ,0 đ,0 đ,0 đ,1,0,0,0
Ngày 03,29,15,20%,14,0,15,"12,0",2-4,3,16,16,15,3,2,1,Kích hoạt,1,0,0,3,15,2-4,1,3.000.000 đ,1%,,,Hợp lệ,0 đ,0 đ,0 đ,0,0,0,0
Ngày 04,32,0,35%,28,0,30,"24,0",2-4,5,30,30,30,5,4,1,Kích hoạt,1,0,0,5,13,2-4,2,3.000.000 đ,2%,"4,0","1,0",Hợp lệ,0 đ,4.500.000 đ,4.500.000 đ,0,0,0,0
Ngày 05,33,0,42%,32,1,35,"29,8",2-4,7,34,34,34,7,5,1,Kích hoạt,1,0,1,7,10,2-4,3,3.200.000 đ,3%,"4,3","2,7",Hợp lệ,0 đ,12.000.000 đ,12.000.000 đ,0,0,0,0
Ngày 06,34,0,50%,42,1,45,"38,3",2-4,8,44,44,45,8,6,2,Kích hoạt,2,0,0,8,9,2-4,6,3.500.000 đ,5%,"5,0","3,0",Hợp lệ,0 đ,13.500.000 đ,13.500.000 đ,0,0,0,0
Ngày 07,37,0,68%,60,0,65,"52,0",2-4,11,63,63,63,11,8,2,Kích hoạt,2,0,1,11,15,2-4,12,4.000.000 đ,10%,"6,7","4,3",Hợp lệ,0 đ,19.500.000 đ,19.500.000 đ,0,0,0,0
Ngày 08,38,0,78%,72,0,75,"60,0",2-4,13,75,75,75,13,9,3,Kích hoạt,3,0,1,13,15,2-4,14,4.200.000 đ,12%,"8,7","4,3",Hợp lệ,0 đ,19.500.000 đ,19.500.000 đ,0,0,0,0
Ngày 09,34,0,75%,68,0,70,"56,0",2-4,12,71,71,70,12,8,2,Kích hoạt,2,0,2,12,16,8-10 (Lỗi),12,3.800.000 đ,15%,"10,7","1,3",Loại,0 đ,6.000.000 đ,6.000.000 đ,0,0,0,0
Ngày 10,34,0,76%,70,0,72,"57,6",2-4,12,73,73,72,13,9,3,Kích hoạt,3,0,0,12,14,2-4,16,4.200.000 đ,13%,"12,0","0,0",Hợp lệ,0 đ,0 đ,0 đ,1,0,0,0
Ngày 11,26,65,25%,18,0,20,"16,0",2-4,4,20,19,19,4,3,1,Hủy slot (Mưa > 20mm),0,150.000,1,4,15,2-4,2,3.000.000 đ,2%,"12,3","8,3",Hợp lệ,12.500.000 đ,0 đ,12.500.000 đ,0,0,0,150.000
Ngày 12,35,0,92%,105,1,110,"93,5",2-4,20,109,109,109,20,14,4,Kích hoạt,4,0,2,20,10,2-4,24,5.000.000 đ,20%,"9,3","10,7",Hợp lệ,0 đ,48.000.000 đ,48.000.000 đ,0,0,0,0
