Day,Temp,Rain,Ripe,Order,Peak,Harvest,Cold_ton,Actual_trucks,Pred_T7,Pred_T3,Pred_T1,Demand_trucks,L1,L2_plan,L2_run,Price,L2_penalty,L3,Total_run,Baseline_pred,Baseline_err,Baseline_C_over,Baseline_C_under,Baseline_Risk_Total,Frost_err,Frost_C_over,Frost_C_under,Frost_Risk_Total
Ngày 01 (01/05),24.4,0.0,0.11,55.7,1,65.5,55.68,4,64.3,63.0,55.4,3,2,1,1,11700000,0.0,1,4,,,0.0,0.0,0.0,0,0,0,0.0
Ngày 02 (02/05),26.7,0.0,0.12,32.3,0,20.0,16.0,1,42.7,52.8,56.4,3,2,1,1,9000000,0.0,0,3,,,0.0,0.0,0.0,2,5400000,0,5400000.0
Ngày 03 (03/05),26.8,0.0,0.14,37.2,0,20.0,16.0,1,47.2,57.9,61.5,3,2,1,1,9000000,0.0,0,3,,,0.0,0.0,0.0,2,5400000,0,5400000.0
Ngày 04 (04/05),26.2,0.0,0.15,35.2,0,31.1,24.88,2,45.3,53.6,57.4,3,2,1,1,9000000,0.0,0,3,2.0,0.0,0.0,0.0,0.0,1,2700000,0,2700000.0
Ngày 05 (05/05),26.5,15.0,0.16,42.4,0,48.0,38.4,3,52.0,-4.7,-1.1,0,0,0,0,9000000,0.0,3,3,1.3333333333333333,1.6666666666666667,0.0,10000000.0,10000000.0,0,0,0,0.0
Ngày 06 (06/05),28.6,0.0,0.17,52.3,0,60.2,48.16,3,61.2,80.0,82.9,4,3,1,1,9000000,0.0,0,4,2.0,1.0,0.0,6000000.0,6000000.0,1,2700000,0,2700000.0
Ngày 07 (07/05),27.1,0.0,0.19,88.6,1,96.3,81.85,5,94.7,105.7,97.3,5,4,1,1,11700000,0.0,0,5,2.6666666666666665,2.3333333333333335,0.0,14000000.0,14000000.0,0,0,0,0.0
Ngày 08 (08/05),27.7,0.0,0.2,97.7,1,82.0,69.7,5,103.1,116.7,108.0,6,4,2,2,11700000,0.0,0,6,3.6666666666666665,1.3333333333333335,0.0,8000000.000000001,8000000.000000001,1,2700000,0,2700000.0
Ngày 09 (09/05),28.0,0.0,0.21,71.6,0,57.6,46.08,3,79.0,95.0,98.3,5,4,1,1,9000000,0.0,0,5,4.333333333333333,1.333333333333333,3599999.999999999,0.0,3599999.999999999,2,5400000,0,5400000.0
Ngày 10 (10/05),26.9,30.0,0.22,71.1,0,26.5,21.2,2,78.5,-42.7,-39.2,-1,-1,0,0,9000000,0.0,3,2,4.333333333333333,2.333333333333333,6299999.999999999,0.0,6299999.999999999,0,0,0,0.0
Ngày 11 (11/05),29.7,0.0,0.23,91.2,0,93.9,75.12,5,97.1,120.5,123.2,6,4,2,2,9000000,0.0,0,6,3.3333333333333335,1.6666666666666665,0.0,10000000.0,10000000.0,1,2700000,0,2700000.0
Ngày 12 (12/05),28.0,0.0,0.25,90.5,0,97.9,78.32,5,96.5,112.4,115.8,6,4,2,2,9000000,0.0,0,6,3.3333333333333335,1.6666666666666665,0.0,10000000.0,10000000.0,1,2700000,0,2700000.0
Ngày 13 (13/05),30.1,0.0,0.26,100.1,0,110.2,88.16,6,105.4,130.6,133.2,7,5,2,2,9000000,0.0,0,7,4.0,2.0,0.0,12000000.0,12000000.0,1,2700000,0,2700000.0
