Date,Temp_Max_C,Temp_Mean_C,Precip_mm,Source
2026-05-01,29.3,23.9,0.0,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-02,29.5,25.5,12.1,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-03,27.9,24.7,36.0,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-04,28.7,22.9,15.2,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-05,29.9,24.6,0.0,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-06,30.0,26.1,0.1,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-07,31.4,26.5,7.0,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-08,29.4,25.5,10.4,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-09,29.0,25.0,0.8,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-10,29.6,25.2,0.0,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-11,31.8,26.9,1.5,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-12,32.3,27.2,1.1,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-13,32.4,28.5,1.2,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-14,34.6,29.9,0.0,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-15,34.6,30.3,0.1,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-16,32.5,28.3,7.5,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-17,29.6,26.6,12.6,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-18,30.8,26.7,17.0,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-19,32.3,27.2,23.1,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-20,29.8,26.7,24.5,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-05-21,30.9,26.7,46.8,Open-Meteo ERA5 Reanalysis (ECMWF)
